,,,,,,
Design,35,1,
Illustrator,30,1,
Photoshop,30,1,
SVGs,25,1,
Sketch,20,1,
Figma,20,1,
Development,35,2,
JavaScript,30,2,
CSS,30,2,
Sass,30,2,
HTML,30,2,
jQuery,30,2,
Email Temps,30,2,
GSAP,25,2,
Anime.js,25,2,
Vue,30,2,
React,30,2,
Contentful,25,2,
SendGrid,25,2,
Mailchimp,25,2,
D3,20,2,
Three.js,20,2,
Lottie,20,2,
SVGs,20,2,
